"gene","Freq"
"ACTC1",6
"ADCY7",7
"ADRA2A",6
"AHNAK2",7
"ALDH2",6
"ANXA1",7
"ANXA3",7
"APOE",7
"ARL4A",6
"ARPC1B",7
"ARPC5",6
"ART3",7
"ATP2B2",6
"ATP9A",6
"BGN",6
"BLNK",6
"C1QB",6
"C1R",6
"C1S",7
"C3AR1",6
"CALD1",6
"CAPN6",7
"CASQ2",6
"CCL2",7
"CCND2",7
"CD14",7
"CD163",6
"CD24",7
"CD74",7
"CD9",7
"CD99",8
"CDC14B",6
"CDH11",6
"CDKN1A",6
"CFH",8
"CFI",7
"CHAF1B",6
"CHRDL1",7
"CHRNA1",9
"CHSY1",6
"CILP",6
"CLCN5",7
"CLDN5",6
"CNN3",7
"COL14A1",6
"COL15A1",7
"COL1A1",8
"COL1A2",7
"COL3A1",7
"COL4A2",6
"COL5A2",7
"COL6A2",6
"COL6A3",7
"CPVL",6
"CRIP1",7
"CRIP2",7
"CTDSPL",6
"CTGF",6
"CTSK",7
"CTSS",7
"DBN1",6
"DCLK1",6
"DLK1",6
"DMD",7
"DNM1",6
"DPP4",6
"DSTN",6
"ECM2",6
"EEF1A1",7
"EMP3",6
"EPB41L3",8
"ERBB4",6
"EVI2A",6
"EVI2B",6
"EYA1",6
"F13A1",6
"FGL2",8
"FHL2",6
"FKBP5",6
"FN1",6
"FOLR2",6
"FRZB",6
"GADD45A",6
"GBP2",6
"GJA1",7
"GMPR",7
"GOT2",6
"GPC3",6
"GPM6B",8
"GPNMB",6
"GUK1",6
"HCLS1",6
"HLA-A",6
"HLA-DMA",7
"HLA-DMB",6
"HLA-DPA1",7
"HLA-DPB1",7
"HLA-DRA",9
"HLA-DRB4",6
"HLA-E",6
"HLA-F",6
"HMGCS2",6
"HMGN1",6
"HN1",6
"HNMT",8
"HOXA10",6
"HTRA1",7
"IFI16",7
"IFI44",6
"IFI44L",7
"IFIH1",6
"IGFBP4",6
"IGFBP7",7
"IL10RA",6
"IL1R1",6
"IL4R",6
"IL7",6
"IMPA2",7
"IRF8",6
"JAM3",7
"JUP",7
"KCTD12",6
"LAMB1",6
"LAPTM5",9
"LGALS3",6
"LGALS3BP",7
"LGMN",9
"LGR5",6
"LIPA",7
"LOXL1",6
"LRRC17",7
"LSP1",7
"LTBR",6
"LY96",7
"LYZ",7
"MACF1",7
"MAGED2",6
"MAOB",6
"MEG3",7
"MEST",6
"MGP",6
"MLLT11",7
"MPPED2",6
"MRC2",6
"MVP",6
"MX1",6
"MXRA5",7
"MXRA8",7
"MYBPH",7
"MYH3",8
"MYH8",8
"MYL5",8
"MYL6",6
"MYOF",7
"NCF2",6
"NCF4",6
"NDN",6
"NDRG1",6
"NMI",6
"OLFML1",6
"OLFML2B",7
"PABPC1",6
"PCOLCE",7
"PDGFRA",6
"PDGFRL",6
"PDIA3",6
"PECAM1",6
"PEG3",6
"PENK",8
"PGAM2",6
"PHKA1",6
"PHTF2",6
"PLA2G2A",6
"PLAGL1",8
"PLAU",6
"PLP1",6
"PLTP",6
"POSTN",7
"PPIB",6
"PPP1R1A",6
"PPP1R3A",6
"PRCP",6
"PREPL",6
"PROS1",6
"PSMB8",7
"PTPRF",7
"PXDN",7
"RAB31",6
"RAD23A",7
"RARRES2",6
"RBM3",6
"RGS2",6
"RHOBTB1",6
"RNASE6",7
"S100A10",6
"S100A13",6
"S100A2",6
"S100A4",7
"SAT1",6
"SCN1B",6
"SCRN1",6
"SDCBP",6
"SECTM1",6
"SEPP1",6
"SERPINA3",6
"SERPING1",7
"SFRP1",6
"SGCA",7
"SLC7A7",6
"SMPDL3A",7
"SNAI2",6
"SNX7",6
"SOX11",6
"SPARC",7
"SPP1",6
"SRGN",6
"SRPX",7
"STAB1",6
"TBC1D4",6
"TDO2",7
"TFRC",6
"TGFBI",6
"THBS2",6
"THBS4",6
"TMEM158",6
"TMSB10",6
"TNNT2",8
"TPP1",6
"TRIM38",6
"TRIP10",6
"TUBA1A",6
"TYROBP",6
"TYRP1",7
"UGCG",6
"VAMP8",6
"VCAM1",7
"VDAC1",6
"VIM",6
"VSIG4",7
"WSB1",6
"XIST",6
"XRCC4",7
"ZBTB16",7
